Date,Open,High,Low,Close,Adj Close,Volume
2020-04-14,30.940001,31.650000,30.000000,30.209999,29.448421,17769700
2020-04-15,29.480000,30.240000,29.000000,29.650000,28.902538,16748200
2020-04-16,30.100000,30.379999,28.799999,28.799999,28.073965,20734200
2020-04-17,29.549999,30.059999,29.030001,29.580000,28.834301,18615000
2020-04-20,29.000000,29.490000,28.520000,28.990000,28.259178,17775000
2020-04-22,28.889999,29.150000,28.629999,28.860001,28.132454,20198900
2020-04-23,29.200001,29.629999,27.610001,28.049999,27.342873,21708800
2020-04-24,27.629999,27.700001,24.000000,24.299999,23.687407,73978000
2020-04-27,25.500000,26.200001,25.110001,25.690001,25.042368,32132800
2020-04-28,27.219999,29.250000,27.110001,29.139999,28.405396,43232700
2020-04-29,30.040001,30.209999,28.730000,29.559999,28.814806,24628700
2020-04-30,28.309999,28.780001,27.850000,28.500000,27.781528,23935300
2020-05-04,27.370001,27.760000,26.990000,27.760000,27.060186,16586000
2020-05-05,28.020000,28.549999,27.559999,27.799999,27.099174,15799600
2020-05-06,27.959999,28.129999,26.750000,26.990000,26.309595,20312700
2020-05-07,27.440001,27.450001,26.070000,26.260000,25.598000,26405900
2020-05-08,27.100000,27.709999,26.799999,27.100000,26.416822,17576000
2020-05-11,26.900000,28.129999,26.799999,27.270000,26.582537,17332500
2020-05-12,27.440001,27.549999,26.260000,26.309999,25.646738,24140900
2020-05-13,26.650000,26.850000,25.230000,25.549999,24.905897,26406100
2020-05-14,25.000000,26.799999,24.750000,26.650000,25.978167,36194500
2020-05-15,26.500000,27.080000,25.840000,26.150000,25.490770,23436500
2020-05-18,27.129999,27.780001,26.650000,27.400000,26.709259,18756800
2020-05-19,27.260000,27.780001,26.660000,26.660000,25.987915,16726100
2020-05-20,27.000000,27.639999,26.770000,27.330000,26.641026,22799800
2020-05-21,27.639999,29.290001,27.480000,29.260000,28.522373,30519600
2020-05-22,28.860001,29.150000,27.910000,28.510000,27.791279,26947900
2020-05-25,30.000000,31.500000,29.799999,31.500000,30.705900,31886800
2020-05-26,32.500000,32.930000,30.230000,30.790001,30.013800,30820300
2020-05-27,31.629999,31.629999,30.500000,30.900000,30.121025,19310400
2020-05-28,30.610001,31.459999,30.209999,30.790001,30.013800,20732700
2020-05-29,30.500000,30.850000,29.750000,30.840000,30.062540,26926700
2020-06-01,30.770000,32.150002,30.559999,31.799999,30.998339,22043600
2020-06-02,32.599998,32.900002,32.279999,32.820000,31.992626,15772200
2020-06-03,34.470001,35.000000,33.840000,34.750000,33.873970,29497200
2020-06-04,34.430000,35.570000,33.520000,34.939999,34.059181,23947100
2020-06-05,37.410000,38.169998,35.009998,35.200001,34.312630,35546100
2020-06-08,35.820000,36.810001,35.500000,36.389999,35.472626,22264000
2020-06-09,35.540001,37.080002,35.119999,35.790001,34.887756,28728300
2020-06-10,36.360001,36.410000,34.209999,34.209999,33.347580,27346200
2020-06-12,33.000000,33.880001,32.810001,33.349998,32.509262,28959900
2020-06-15,32.000000,33.320000,31.700001,33.070000,32.236320,33572800
2020-06-16,34.500000,34.669998,33.099998,33.500000,32.655479,23341500
2020-06-17,33.439999,34.770000,33.360001,34.500000,33.630272,18945300
2020-06-18,34.180000,35.130001,33.799999,34.400002,33.532799,18913800
2020-06-19,34.900002,35.119999,33.900002,33.939999,33.084389,20326300
2020-06-22,34.209999,34.419998,33.000000,33.240002,32.402039,15139200
2020-06-23,33.799999,34.040001,33.099998,33.529999,32.684731,16289000
2020-06-24,33.340000,33.599998,31.910000,32.220001,31.407749,24448100
2020-06-25,32.340000,33.049999,32.080002,33.009998,32.177834,19013400
2020-06-26,32.650002,32.880001,31.820000,31.820000,31.017836,14806900
2020-06-29,32.169998,33.439999,31.940001,33.439999,32.596992,18321000
2020-06-30,33.209999,33.220001,32.020000,32.150002,31.339518,25268700
2020-07-01,32.419998,33.270000,32.180000,33.070000,32.236320,17012800
2020-07-02,33.630001,34.240002,33.000000,33.160000,32.324059,19976000
2020-07-03,33.119999,33.500000,32.680000,33.500000,32.655479,8194600
2020-07-06,34.360001,34.990002,34.070000,34.669998,33.795986,19120300
2020-07-07,34.299999,34.360001,33.279999,33.279999,32.441029,23168300
2020-07-08,33.709999,34.200001,33.520000,34.090000,33.230606,17648100
2020-07-09,34.180000,34.320000,33.810001,33.959999,33.103886,11247600
2020-07-10,33.889999,34.340000,33.549999,34.139999,33.279346,14193400
2020-07-13,34.450001,34.790001,33.799999,33.799999,32.947918,14199100
2020-07-14,33.830002,34.410000,33.500000,34.349998,33.484055,14317900
2020-07-15,34.700001,35.070000,34.389999,34.689999,33.815483,14782300
2020-07-16,34.410000,34.560001,34.080002,34.400002,33.532799,10078300
2020-07-17,34.500000,35.459999,34.470001,35.459999,34.566071,17077800
2020-07-20,35.490002,35.680000,34.869999,35.320000,34.429600,15869700
2020-07-21,35.750000,36.200001,35.270000,35.490002,34.595318,19201300
2020-07-22,35.650002,35.689999,34.709999,35.200001,34.312630,13628100
2020-07-23,35.259998,35.259998,34.209999,34.349998,33.484055,14245100
2020-07-24,34.000000,34.619999,33.650002,33.950001,33.094139,17200000
2020-07-27,33.700001,35.070000,33.540001,34.910000,34.029938,23781800
2020-07-28,34.700001,35.779999,34.549999,35.029999,34.146912,17055500
2020-07-29,35.380001,35.950001,35.150002,35.950001,35.043720,13101300
2020-07-30,35.119999,35.540001,34.520000,34.799999,33.922707,23154800
2020-07-31,34.900002,34.970001,33.570000,33.580002,32.733467,20701300
